H1,H2,DD1,UD1,user_id
80,79,175,95,46
54,94,680,626,47
62,90,475,413,47
88,99,543,455,47
68,82,440,372,47
74,86,751,677,47
69,89,560,491,47
55,100,442,387,47
46,98,877,831,47
55,90,351,296,47
36,107,602,566,47
44,74,365,321,47
71,91,559,488,47
62,82,341,279,47
55,72,788,733,47
59,82,464,405,47
49,88,707,658,47
59,82,456,397,47
74,82,421,347,47
61,65,416,355,47
56,82,395,339,47
101,123,586,485,48
80,106,317,237,48
86,105,297,211,48
64,111,712,648,48
79,100,264,185,48
89,106,293,204,48
89,88,900,811,48
90,79,417,327,48
81,106,359,278,48
98,95,2026,1928,48
114,106,407,293,48
81,82,416,335,48
80,90,483,403,48
94,97,472,378,48
105,123,540,435,48
115,97,543,428,48
105,89,450,345,48
98,106,408,310,48
90,106,433,343,48
105,92,597,492,48
34,80,1077,1043,49
88,80,1289,1201,49
81,73,357,276,49
72,81,234,162,49
71,87,300,229,49
64,55,482,418,49
56,94,253,197,49
80,90,266,186,49
89,97,275,186,49
80,95,243,163,49
72,86,259,187,49
81,87,241,160,49
73,94,1068,995,49
88,78,809,721,49
77,94,250,173,49
77,71,298,221,49
87,87,499,412,49
63,88,257,194,49
79,79,241,162,49
78,86,241,163,49
89,111,727,638,50
101,66,443,342,50
96,90,696,600,50
103,51,421,318,50
74,46,411,337,50
88,84,324,236,50
86,66,483,397,50
76,89,348,272,50
74,60,671,597,50
91,74,282,191,50
98,87,316,218,50
87,95,403,316,50
88,78,311,223,50
112,75,353,241,50
92,83,377,285,50
92,60,368,276,50
70,72,469,399,50
114,78,330,216,50
83,89,370,287,50
80,70,382,302,50
96,112,165,69,51
65,81,450,385,51
65,65,385,320,51
46,99,347,301,51
63,81,498,435,51
65,81,300,235,51
62,96,700,638,51
64,79,501,437,51
50,65,417,367,51
79,63,381,302,51
63,80,383,320,51
80,81,1198,1118,51
47,82,415,368,51
46,65,348,302,51
64,81,766,702,51
47,79,499,452,51
80,64,316,236,51
61,46,348,287,51
78,81,230,152,51
78,96,366,288,51
12,34,531,519,52
97,70,565,468,52
93,75,265,172,52
71,71,672,601,52
72,20,290,218,52
71,72,329,258,52
90,94,797,707,52
56,48,325,269,52
72,71,256,184,52
49,73,275,226,52
69,64,260,191,52
82,72,277,195,52
92,78,279,187,52
67,75,250,183,52
69,72,263,194,52
59,80,235,176,52
78,59,275,197,52
49,64,310,261,52
71,69,291,220,52
84,72,298,214,52
69,48,1072,1003,53
82,66,133,51,53
131,106,281,150,53
113,71,176,63,53
99,91,428,329,53
88,89,223,135,53
91,83,173,82,53
90,90,140,50,53
106,83,173,67,53
97,95,135,38,53
151,108,251,100,53
98,89,252,154,53
73,106,326,253,53
54,76,289,235,53
96,98,250,154,53
67,98,285,218,53
80,91,173,93,53
86,93,278,192,53
66,81,261,195,53
97,67,232,135,53
73,91,271,198,54
87,97,217,130,54
70,81,747,677,54
88,91,169,81,54
99,118,136,37,54
81,90,163,82,54
97,89,145,48,54
79,99,254,175,54
78,101,150,72,54
88,81,116,28,54
89,99,135,46,54
70,78,820,750,54
71,100,108,37,54
81,99,164,83,54
79,92,113,34,54
72,99,146,74,54
87,91,114,27,54
79,88,792,713,54
70,90,162,92,54
73,92,273,200,54
59,55,454,395,55
69,67,269,200,55
96,77,439,343,55
61,93,168,107,55
77,65,114,37,55
94,78,134,40,55
87,96,158,71,55
55,34,139,84,55
55,75,112,57,55
52,46,155,103,55
79,80,150,71,55
65,51,149,84,55
63,71,140,77,55
51,63,153,102,55
47,66,114,67,55
80,74,157,77,55
67,59,108,41,55
56,72,186,130,55
79,77,171,92,55
51,46,137,86,55
50,71,169,119,56
79,73,174,95,56
95,58,207,112,56
80,73,158,78,56
81,66,143,62,56
79,58,172,93,56
105,58,156,51,56
72,57,147,75,56
79,56,150,71,56
88,65,175,87,56
65,64,193,128,56
63,46,176,113,56
76,75,831,755,56
162,81,257,95,56
80,55,274,194,56
96,71,307,211,56
96,68,585,489,56
75,64,503,428,56
85,38,297,212,56
70,47,265,195,56
93,123,287,194,57
124,120,356,232,57
130,125,327,197,57
109,104,310,201,57
122,122,310,188,57
108,106,349,241,57
111,111,309,198,57
91,102,289,198,57
104,111,343,239,57
111,105,300,189,57
82,121,291,209,57
108,114,338,230,57
107,80,306,199,57
111,92,330,219,57
122,95,295,173,57
89,105,339,250,57
108,110,277,169,57
110,120,290,180,57
106,112,278,172,57
102,89,291,189,57
86,89,268,182,58
68,71,486,418,58
88,68,451,363,58
88,75,327,239,58
68,64,315,247,58
77,69,433,356,58
95,77,464,369,58
84,59,311,227,58
81,72,288,207,58
86,55,571,485,58
89,67,326,237,58
69,83,273,204,58
71,83,250,179,58
57,61,317,260,58
79,69,288,209,58
70,93,264,194,58
71,57,266,195,58
68,66,246,178,58
71,65,300,229,58
65,65,239,174,58
8,98,329,321,59
89,62,1150,1061,59
76,78,461,385,59
100,50,966,866,59
166,84,303,137,59
99,69,243,144,59
107,107,206,99,59
109,112,189,80,59
79,62,216,137,59
101,84,229,128,59
109,53,636,527,59
130,44,249,119,59
98,109,612,514,59
141,101,215,74,59
91,118,225,134,59
80,86,183,103,59
91,102,189,98,59
132,93,238,106,59
106,102,206,100,59
94,137,207,113,59
138,120,1944,1806,60
89,105,1610,1521,60
81,97,584,503,60
71,63,674,603,60
89,49,575,486,60
98,108,614,516,60
73,113,359,286,60
73,74,642,569,60
89,81,434,345,60
82,82,724,642,60
63,70,1826,1763,60
58,56,484,426,60
100,73,600,500,60
113,70,476,363,60
62,90,365,303,60
63,54,875,812,60
81,63,566,485,60
73,61,425,352,60
82,54,470,388,60
91,97,367,276,60
90,86,2698,2608,61
108,96,1024,916,61
112,102,1398,1286,61
98,85,1102,1004,61
107,115,987,880,61
121,103,1107,986,61
90,93,541,451,61
82,69,455,373,61
94,93,619,525,61
82,89,1074,992,61
64,87,521,457,61
70,89,495,425,61
81,74,852,771,61
75,78,717,642,61
78,73,428,350,61
75,87,399,324,61
74,79,624,550,61
78,91,1142,1064,61
79,43,1223,1144,61
82,79,503,421,61
31,96,284,253,62
111,97,249,138,62
76,77,230,154,62
92,96,229,137,62
94,76,233,139,62
92,79,196,104,62
80,95,184,104,62
76,96,198,122,62
77,79,198,121,62
77,96,197,120,62
97,99,198,101,62
93,97,229,136,62
94,78,217,123,62
95,79,217,122,62
78,62,217,139,62
94,78,249,155,62
95,111,199,104,62
96,111,201,105,62
95,80,217,122,62
77,88,204,127,62
66,54,381,315,63
61,62,358,297,63
78,52,409,331,63
80,44,344,264,63
52,52,307,255,63
78,43,285,207,63
37,37,333,296,63
44,77,466,422,63
69,45,358,289,63
69,53,275,206,63
53,60,208,155,63
85,45,624,539,63
79,36,309,230,63
77,51,325,248,63
69,45,291,222,63
86,35,284,198,63
70,37,233,163,63
78,36,242,164,63
65,10,266,201,63
70,52,341,271,63
67,73,452,385,64
76,72,530,454,64
66,97,161,95,64
53,81,106,53,64
59,79,122,63,64
47,80,641,594,64
39,81,109,70,64
37,82,141,104,64
38,73,92,54,64
47,73,101,54,64
40,90,93,53,64
48,80,93,45,64
52,81,139,87,64
46,73,109,63,64
47,89,101,54,64
13,81,74,61,64
56,97,143,87,64
32,72,453,421,64
63,73,117,54,64
32,73,110,78,64
8,74,144,136,65
69,99,239,170,65
58,74,285,227,65
72,78,393,321,65
63,98,233,170,65
55,82,303,248,65
60,87,239,179,65
86,91,207,121,65
55,83,205,150,65
52,77,202,150,65
91,98,219,128,65
